,DATE,REGION,AGEGROUP,SEX,DEATHS
125,2020-03-23,Wallonia,85+,M,7
126,2020-03-23,Wallonia,85+,F,7
127,2020-03-23,Flanders,45-64,M,2
128,2020-03-23,Flanders,45-64,F,1
129,2020-03-23,Flanders,65-74,M,3
130,2020-03-23,Flanders,75-84,M,6
131,2020-03-23,Flanders,75-84,F,4
132,2020-03-23,Flanders,85+,M,7
133,2020-03-23,Flanders,85+,F,11
134,2020-03-23,Brussels,45-64,M,1
135,2020-03-23,Brussels,65-74,M,4
136,2020-03-23,Brussels,65-74,F,2
137,2020-03-23,Brussels,75-84,M,3
138,2020-03-23,Brussels,85+,M,1
139,2020-03-23,Brussels,85+,F,4
140,2020-03-24,Wallonia,45-64,M,1
141,2020-03-24,Wallonia,45-64,F,1
142,2020-03-24,Wallonia,65-74,M,9
143,2020-03-24,Wallonia,65-74,F,1
144,2020-03-24,Wallonia,75-84,M,3
145,2020-03-24,Wallonia,75-84,F,3
146,2020-03-24,Wallonia,85+,M,8
147,2020-03-24,Wallonia,85+,F,5
148,2020-03-24,Flanders,45-64,M,2
149,2020-03-24,Flanders,65-74,M,1
150,2020-03-24,Flanders,65-74,F,1
151,2020-03-24,Flanders,75-84,M,9
152,2020-03-24,Flanders,75-84,F,1
153,2020-03-24,Flanders,85+,M,10
154,2020-03-24,Flanders,85+,F,8
155,2020-03-24,Brussels,45-64,M,1
156,2020-03-24,Brussels,65-74,F,1
157,2020-03-24,Brussels,75-84,M,4
158,2020-03-24,Brussels,75-84,F,1
159,2020-03-24,Brussels,85+,M,2
160,2020-03-24,Brussels,85+,F,4
161,2020-03-25,Wallonia,25-44,F,1
162,2020-03-25,Wallonia,45-64,M,2
163,2020-03-25,Wallonia,45-64,F,1
164,2020-03-25,Wallonia,65-74,M,7
165,2020-03-25,Wallonia,65-74,F,1
166,2020-03-25,Wallonia,75-84,M,4
167,2020-03-25,Wallonia,75-84,F,11
168,2020-03-25,Wallonia,85+,M,8
169,2020-03-25,Wallonia,85+,F,4
170,2020-03-25,Flanders,45-64,M,3
171,2020-03-25,Flanders,45-64,F,2
172,2020-03-25,Flanders,65-74,M,8
173,2020-03-25,Flanders,75-84,M,9
174,2020-03-25,Flanders,75-84,F,7
175,2020-03-25,Flanders,85+,M,13
176,2020-03-25,Flanders,85+,F,10
177,2020-03-25,Brussels,45-64,M,1
178,2020-03-25,Brussels,45-64,F,1
179,2020-03-25,Brussels,65-74,M,3
180,2020-03-25,Brussels,65-74,F,1
181,2020-03-25,Brussels,75-84,M,4
182,2020-03-25,Brussels,75-84,F,3
183,2020-03-25,Brussels,85+,M,1
184,2020-03-25,Brussels,85+,F,6
185,2020-03-26,Wallonia,45-64,F,1
186,2020-03-26,Wallonia,65-74,M,4
187,2020-03-26,Wallonia,65-74,F,3
188,2020-03-26,Wallonia,75-84,M,7
189,2020-03-26,Wallonia,75-84,F,10
190,2020-03-26,Wallonia,85+,M,9
191,2020-03-26,Wallonia,85+,F,14
192,2020-03-26,Flanders,25-44,F,1
193,2020-03-26,Flanders,45-64,M,1
194,2020-03-26,Flanders,65-74,M,2
195,2020-03-26,Flanders,65-74,F,1
196,2020-03-26,Flanders,75-84,M,10
197,2020-03-26,Flanders,75-84,F,3
198,2020-03-26,Flanders,85+,M,12
199,2020-03-26,Flanders,85+,F,6
200,2020-03-26,Brussels,45-64,M,4
201,2020-03-26,Brussels,65-74,M,1
202,2020-03-26,Brussels,75-84,M,4
203,2020-03-26,Brussels,75-84,F,2
204,2020-03-26,Brussels,85+,M,4
205,2020-03-26,Brussels,85+,F,3
206,2020-03-27,Wallonia,45-64,M,4
207,2020-03-27,Wallonia,45-64,F,2
208,2020-03-27,Wallonia,65-74,M,1
209,2020-03-27,Wallonia,75-84,M,8
210,2020-03-27,Wallonia,75-84,F,5
211,2020-03-27,Wallonia,85+,M,4
212,2020-03-27,Wallonia,85+,F,14
213,2020-03-27,Flanders,45-64,M,4
214,2020-03-27,Flanders,65-74,M,9
215,2020-03-27,Flanders,75-84,M,11
216,2020-03-27,Flanders,75-84,F,17
217,2020-03-27,Flanders,85+,M,17
218,2020-03-27,Flanders,85+,F,20
219,2020-03-27,Brussels,65-74,M,3
220,2020-03-27,Brussels,65-74,F,2
221,2020-03-27,Brussels,75-84,M,5
222,2020-03-27,Brussels,75-84,F,1
223,2020-03-27,Brussels,85+,M,2
224,2020-03-27,Brussels,85+,F,7
225,2020-03-28,Wallonia,45-64,M,2
226,2020-03-28,Wallonia,65-74,M,3
227,2020-03-28,Wallonia,65-74,F,1
228,2020-03-28,Wallonia,75-84,M,10
229,2020-03-28,Wallonia,75-84,F,5
230,2020-03-28,Wallonia,85+,M,11
231,2020-03-28,Wallonia,85+,F,12
232,2020-03-28,Wallonia,NA,M,1
233,2020-03-28,Flanders,45-64,M,5
234,2020-03-28,Flanders,45-64,F,1
235,2020-03-28,Flanders,65-74,M,7
236,2020-03-28,Flanders,75-84,M,15
237,2020-03-28,Flanders,75-84,F,16
238,2020-03-28,Flanders,85+,M,14
239,2020-03-28,Flanders,85+,F,15
240,2020-03-28,Brussels,65-74,M,2
241,2020-03-28,Brussels,65-74,F,4
242,2020-03-28,Brussels,75-84,M,2
243,2020-03-28,Brussels,75-84,F,7
244,2020-03-28,Brussels,85+,M,3
245,2020-03-28,Brussels,85+,F,7
246,2020-03-29,Wallonia,45-64,M,1
247,2020-03-29,Wallonia,45-64,F,1
248,2020-03-29,Wallonia,65-74,M,4
249,2020-03-29,Wallonia,65-74,F,5
250,2020-03-29,Wallonia,75-84,M,14
251,2020-03-29,Wallonia,75-84,F,7
252,2020-03-29,Wallonia,85+,M,6
253,2020-03-29,Wallonia,85+,F,19
254,2020-03-29,Flanders,45-64,F,1
255,2020-03-29,Flanders,65-74,M,8
256,2020-03-29,Flanders,65-74,F,4
257,2020-03-29,Flanders,75-84,M,18
258,2020-03-29,Flanders,75-84,F,4
259,2020-03-29,Flanders,85+,M,13
260,2020-03-29,Flanders,85+,F,16
261,2020-03-29,Brussels,25-44,F,1
262,2020-03-29,Brussels,65-74,M,2
263,2020-03-29,Brussels,65-74,F,1
264,2020-03-29,Brussels,75-84,M,4
265,2020-03-29,Brussels,75-84,F,5
266,2020-03-29,Brussels,85+,M,6
267,2020-03-29,Brussels,85+,F,5
268,2020-03-30,Wallonia,45-64,M,5
269,2020-03-30,Wallonia,45-64,F,3
270,2020-03-30,Wallonia,65-74,M,5
271,2020-03-30,Wallonia,75-84,M,8
